,Time
203,2000-01-01
204,2000-01-01
205,2000-01-01
206,2000-01-01
207,2000-01-01
208,2000-01-01
209,2000-01-01
210,2000-01-01
211,2000-01-01
212,2000-01-01
213,2000-01-01
214,2000-01-01
215,2000-01-01
216,2000-01-01
217,2000-01-01
218,2000-01-01
219,2000-01-01
220,2000-01-01
221,2000-01-01
222,2000-01-01
223,2000-01-01
224,2000-01-01
225,2000-01-01
226,2000-01-01
227,2000-01-01
228,2000-01-01
229,2000-01-01
230,2000-01-01
231,2000-01-01
232,2000-01-01
233,2000-01-01
234,2000-01-01
235,2000-01-01
236,2000-01-01
237,2000-01-01
238,2000-01-01
239,2000-01-01
240,2000-01-01
241,2000-01-01
242,2000-01-01
243,2000-01-01
244,2000-01-01
245,2000-01-01
246,2000-01-01
247,2000-01-01
248,2000-01-01
249,2000-01-01
250,2000-01-01
251,2000-01-01
252,2000-01-01
253,2000-01-01
254,2000-01-01
255,2000-01-01
256,2000-01-01
257,2000-01-01
258,2000-01-01
259,2000-01-01
260,2000-01-01
261,2000-01-01
262,2000-01-01
263,2000-01-01
264,2000-01-01
265,2000-01-01
266,2000-01-01
267,2000-01-01
268,2000-01-01
269,2000-01-01
270,2000-01-01
271,2000-01-01
272,2000-01-01
273,2000-01-01
274,2000-01-01
275,2000-01-01
276,2000-01-01
277,2000-01-01
278,2000-01-01
279,2000-01-01
280,2000-01-01
281,2000-01-01
282,2000-01-01
283,2000-01-01
284,2000-01-01
285,2000-01-01
286,2000-01-01
287,2000-01-01
288,2000-01-01
289,2000-01-01
290,2000-01-01
291,2000-01-01
292,2000-01-01
293,2000-01-01
294,2000-01-01
295,2000-01-01
296,2000-01-01
297,2000-01-01
298,2000-01-01
299,2000-01-01
300,2000-01-01
301,2000-01-01
302,2000-01-01
303,2000-01-01
304,2000-01-01
305,2000-01-01
306,2000-01-01
307,2000-01-01
308,2000-01-01
309,2000-01-01
310,2000-01-01
311,2000-01-01
312,2000-01-01
313,2000-01-01
314,2000-01-01
315,2000-01-01
316,2000-01-01
317,2000-01-01
318,2000-01-01
319,2000-01-01
320,2000-01-01
321,2000-01-01
322,2000-01-01
323,2000-01-01
324,2000-01-01
325,2000-01-01
326,2000-01-01
327,2000-01-01
328,2000-01-01
329,2000-01-01
330,2000-01-01
331,2000-01-01
332,2000-01-01
333,2000-01-01
334,2000-01-01
335,2000-01-01
336,2000-01-01
337,2000-01-01
338,2000-01-01
339,2000-01-01
340,2000-01-01
341,2000-01-01
342,2000-01-01
343,2000-01-01
344,2000-01-01
345,2000-01-01
346,2000-01-01
347,2000-01-01
348,2000-01-01
349,2000-01-01
350,2000-01-01
351,2000-01-01
352,2000-01-01
353,2000-01-01
354,2000-01-01
355,2000-01-01
356,2000-01-01
357,2000-01-01
358,2000-01-01
359,2000-01-01
360,2000-01-01
361,2000-01-01
362,2000-01-01
363,2000-01-01
364,2000-01-01
365,2000-01-01
366,2000-01-01
367,2000-01-01
368,2000-01-01
369,2000-01-01
370,2000-01-01
371,2000-01-01
372,2000-01-01
373,2000-01-01
374,2000-01-01
375,2000-01-01
376,2000-01-01
377,2000-01-01
378,2000-01-01
379,2000-01-01
380,2000-01-01
381,2000-01-01
382,2000-01-01
383,2000-01-01
384,2000-01-01
385,2000-01-01
386,2000-01-01
387,2000-01-01
388,2000-01-01
389,2000-01-01
390,2000-01-01
391,2000-01-01
392,2000-01-01
393,2000-01-01
394,2000-01-01
395,2000-01-01
396,2000-01-01
397,2000-01-01
398,2000-01-01
399,2000-01-01
400,2000-01-01
401,2000-01-01
402,2000-01-01
403,2000-01-01
404,2000-01-01
405,2000-01-01
406,2000-01-01
407,2000-01-01
408,2000-01-01
409,2000-01-01
410,2000-01-01
411,2000-01-01
412,2000-01-01
413,2000-01-01
414,2000-01-01
415,2000-01-01
416,2000-01-01
417,2000-01-01
418,2000-01-01
419,2000-01-01
420,2000-01-01
421,2000-01-01
422,2000-01-01
423,2000-01-01
424,2000-01-01
425,2000-01-01
426,2000-01-01
427,2000-01-01
428,2000-01-01
429,2000-01-01
430,2000-01-01
431,2000-01-01
432,2000-01-01
433,2000-01-01
434,2000-01-01
435,2000-01-01
436,2000-01-01
437,2000-01-01
438,2000-01-01
439,2000-01-01
440,2000-01-01
441,2000-01-01
442,2000-01-01
443,2000-01-01
444,2000-01-01
445,2000-01-01
446,2000-01-01
447,2000-01-01
448,2000-01-01
449,2000-01-01
450,2000-01-01
451,2000-01-01
452,2000-01-01
453,2000-01-01
454,2000-01-01
455,2000-01-01
456,2000-01-01
457,2000-01-01
458,2000-01-01
459,2000-01-01
460,2000-01-01
461,2000-01-01
462,2000-01-01
463,2000-01-01
464,2000-01-01
465,2000-01-01
466,2000-01-01
467,2000-01-01
468,2000-01-01
469,2000-01-01
470,2000-01-01
471,2000-01-01
472,2000-01-01
473,2000-01-01
474,2000-01-01
475,2000-01-01
476,2000-01-01
477,2000-01-01
478,2000-01-01
479,2000-01-01
480,2000-01-01
481,2000-01-01
482,2000-01-01
483,2000-01-01
484,2000-01-01
485,2000-01-01
486,2000-01-01
487,2000-01-01
488,2000-01-01
489,2000-01-01
490,2000-01-01
491,2000-01-01
492,2000-01-01
493,2000-01-01
494,2000-01-01
495,2000-01-01
496,2000-01-01
497,2000-01-01
498,2000-01-01
499,2000-01-01
500,2000-01-01
501,2000-01-01
502,2000-01-01
503,2000-01-01
504,2000-01-01
505,2000-01-01
506,2000-01-01
507,2000-01-01
508,2000-01-01
509,2000-01-01
510,2000-01-01
511,2000-01-01
512,2000-01-01
513,2000-01-01
514,2000-01-01
515,2000-01-01
516,2000-01-01
517,2000-01-01
518,2000-01-01
519,2000-01-01
520,2000-01-01
521,2000-01-01
522,2000-01-01
523,2000-01-01
524,2000-01-01
525,2000-01-01
526,2000-01-01
527,2000-01-01
528,2000-01-01
529,2000-01-01
530,2000-01-01
531,2000-01-01
532,2000-01-01
533,2000-01-01
534,2000-01-01
535,2000-01-01
536,2000-01-01
537,2000-01-01
538,2000-01-01
539,2000-01-01
540,2000-01-01
541,2000-01-01
542,2000-01-01
543,2000-01-01
544,2000-01-01
545,2000-01-01
546,2000-01-01
547,2000-01-01
548,2000-01-01
549,2000-01-01
550,2000-01-01
551,2000-01-01
552,2000-01-01
553,2000-01-01
554,2000-01-01
555,2000-01-01
556,2000-01-01
557,2000-01-01
558,2000-01-01
559,2000-01-01
560,2000-01-01
561,2000-01-01
562,2000-01-01
563,2000-01-01
564,2000-01-01
565,2000-01-01
566,2000-01-01
567,2000-01-01
568,2000-01-01
569,2000-01-01
570,2000-01-01
571,2000-01-01
572,2000-01-01
573,2000-01-01
574,2000-01-01
575,2000-01-01
576,2000-01-01
577,2000-01-01
578,2000-01-01
579,2000-01-01
580,2000-01-01
581,2000-01-01
582,2000-01-01
583,2000-01-01
584,2000-01-01
585,2000-01-01
586,2000-01-01
587,2000-01-01
588,2000-01-01
589,2000-01-01
590,2000-01-01
591,2000-01-01
592,2000-01-01
593,2000-01-01
594,2000-01-01
595,2000-01-01
596,2000-01-01
597,2000-01-01
598,2000-01-01
599,2000-01-01
600,2000-01-01
601,2000-01-01
602,2000-01-01
603,2000-01-01
604,2000-01-01
605,2000-01-01
606,2000-01-01
607,2000-01-01
608,2000-01-01
609,2000-01-01
610,2000-01-01
611,2000-01-01
612,2000-01-01
613,2000-01-01
614,2000-01-01
615,2000-01-01
616,2000-01-01
617,2000-01-01
618,2000-01-01
619,2000-01-01
620,2000-01-01
621,2000-01-01
622,2000-01-01
623,2000-01-01
624,2000-01-01
625,2000-01-01
626,2000-01-01
627,2000-01-01
628,2000-01-01
629,2000-01-01
630,2000-01-01
631,2000-01-01
632,2000-01-01
633,2000-01-01
634,2000-01-01
635,2000-01-01
636,2000-01-01
637,2000-01-01
638,2000-01-01
639,2000-01-01
640,2000-01-01
641,2000-01-01
642,2000-01-01
643,2000-01-01
644,2000-01-01
645,2000-01-01
646,2000-01-01
647,2000-01-01
648,2000-01-01
649,2000-01-01
650,2000-01-01
651,2000-01-01
652,2000-01-01
653,2000-01-01
654,2000-01-01
655,2000-01-01
656,2000-01-01
657,2000-01-01
658,2000-01-01
659,2000-01-01
660,2000-01-01
661,2000-01-01
662,2000-01-01
663,2000-01-01
664,2000-01-01
665,2000-01-01
666,2000-01-01
667,2000-01-01
668,2000-01-01
669,2000-01-01
670,2000-01-01
671,2000-01-01
672,2000-01-01
673,2000-01-01
674,2000-01-01
675,2000-01-01
676,2000-01-01
677,2000-01-01
678,2000-01-01
679,2000-01-01
680,2000-01-01
681,2000-01-01
682,2000-01-01
683,2000-01-01
684,2000-01-01
685,2000-01-01
686,2000-01-01
687,2000-01-01
688,2000-01-01
689,2000-01-01
690,2000-01-01
691,2000-01-01
692,2000-01-01
693,2000-01-01
694,2000-01-01
695,2000-01-01
696,2000-01-01
697,2000-01-01
698,2000-01-01
699,2000-01-01
700,2000-01-01
701,2000-01-01
702,2000-01-01
703,2000-01-01
704,2000-01-01
705,2000-01-01
706,2000-01-01
707,2000-01-01
708,2000-01-01
709,2000-01-01
710,2000-01-01
711,2000-01-01
712,2000-01-01
713,2000-01-01
714,2000-01-01
715,2000-01-01
716,2000-01-01
717,2000-01-01
718,2000-01-01
719,2000-01-01
720,2000-01-01
721,2000-01-01
722,2000-01-01
723,2000-01-01
724,2000-01-01
725,2000-01-01
726,2000-01-01
727,2000-01-01
728,2000-01-01
729,2000-01-01
730,2000-01-01
731,2000-01-01
732,2000-01-01
733,2000-01-01
734,2000-01-01
735,2000-01-01
736,2000-01-01
737,2000-01-01
738,2000-01-01
739,2000-01-01
740,2000-01-01
741,2000-01-01
742,2000-01-01
743,2000-01-01
744,2000-01-01
745,2000-01-01
746,2000-01-01
747,2000-01-01
748,2000-01-01
749,2000-01-01
750,2000-01-01
751,2000-01-01
752,2000-01-01
753,2000-01-01
754,2000-01-01
755,2000-01-01
756,2000-01-01
757,2000-01-01
758,2000-01-01
759,2000-01-01
760,2000-01-01
761,2000-01-01
762,2000-01-01
763,2000-01-01
764,2000-01-01
765,2000-01-01
766,2000-01-01
767,2000-01-01
768,2000-01-01
769,2000-01-01
770,2000-01-01
771,2000-01-01
772,2000-01-01
773,2000-01-01
774,2000-01-01
775,2000-01-01
776,2000-01-01
777,2000-01-01
778,2000-01-01
779,2000-01-01
780,2000-01-01
781,2000-01-01
782,2000-01-01
783,2000-01-01
784,2000-01-01
785,2000-01-01
786,2000-01-01
787,2000-01-01
788,2000-01-01
789,2000-01-01
790,2000-01-01
791,2000-01-01
792,2000-01-01
793,2000-01-01
794,2000-01-01
795,2000-01-01
796,2000-01-01
797,2000-01-01
798,2000-01-01
799,2000-01-01
800,2000-01-01
801,2000-01-01
802,2000-01-01
803,2000-01-01
804,2000-01-01
805,2000-01-01
806,2000-01-01
807,2000-01-01
808,2000-01-01
809,2000-01-01
810,2000-01-01
811,2000-01-01
812,2000-01-01
813,2000-01-01
814,2000-01-01
815,2000-01-01
816,2000-01-01
817,2000-01-01
818,2000-01-01
819,2000-01-01
820,2000-01-01
821,2000-01-01
822,2000-01-01
823,2000-01-01
824,2000-01-01
825,2000-01-01
826,2000-01-01
827,2000-01-01
828,2000-01-01
829,2000-01-01
830,2000-01-01
831,2000-01-01
832,2000-01-01
833,2000-01-01
834,2000-01-01
835,2000-01-01
836,2000-01-01
837,2000-01-01
838,2000-01-01
839,2000-01-01
840,2000-01-01
841,2000-01-01
842,2000-01-01
843,2000-01-01
844,2000-01-01
845,2000-01-01
846,2000-01-01
847,2000-01-01
848,2000-01-01
849,2000-01-01
850,2000-01-01
851,2000-01-01
852,2000-01-01
853,2000-01-01
854,2000-01-01
855,2000-01-01
856,2000-01-01
857,2000-01-01
858,2000-01-01
859,2000-01-01
860,2000-01-01
861,2000-01-01
862,2000-01-01
863,2000-01-01
864,2000-01-01
865,2000-01-01
866,2000-01-01
867,2000-01-01
868,2000-01-01
869,2000-01-01
870,2000-01-01
871,2000-01-01
872,2000-01-01
873,2000-01-01
874,2000-01-01
875,2000-01-01
876,2000-01-01
877,2000-01-01
878,2000-01-01
879,2000-01-01
880,2000-01-01
881,2000-01-01
882,2000-01-01
883,2000-01-01
884,2000-01-01
885,2000-01-01
886,2000-01-01
887,2000-01-01
888,2000-01-01
889,2000-01-01
890,2000-01-01
891,2000-01-01
892,2000-01-01
893,2000-01-01
894,2000-01-01
895,2000-01-01
896,2000-01-01
897,2000-01-01
898,2000-01-01
899,2000-01-01
900,2000-01-01
901,2000-01-01
902,2000-01-01
903,2000-01-01
904,2000-01-01
905,2000-01-01
906,2000-01-01
907,2000-01-01
908,2000-01-01
909,2000-01-01
910,2000-01-01
911,2000-01-01
912,2000-01-01
913,2000-01-01
914,2000-01-01
915,2000-01-01
916,2000-01-01
917,2000-01-01
918,2000-01-01
919,2000-01-01
920,2000-01-01
921,2000-01-01
922,2000-01-01
923,2000-01-01
924,2000-01-01
925,2000-01-01
926,2000-01-01
927,2000-01-01
928,2000-01-01
929,2000-01-01
930,2000-01-01
931,2000-01-01
932,2000-01-01
933,2000-01-01
934,2000-01-01
935,2000-01-01
936,2000-01-01
937,2000-01-01
938,2000-01-01
939,2000-01-01
940,2000-01-01
941,2000-01-01
942,2000-01-01
943,2000-01-01
944,2000-01-01
945,2000-01-01
946,2000-01-01
947,2000-01-01
948,2000-01-01
949,2000-01-01
950,2000-01-01
951,2000-01-01
952,2000-01-01
953,2000-01-01
954,2000-01-01
955,2000-01-01
956,2000-01-01
957,2000-01-01
958,2000-01-01
959,2000-01-01
960,2000-01-01
961,2000-01-01
962,2000-01-01
963,2000-01-01
964,2000-01-01
965,2000-01-01
966,2000-01-01
